Code Desc,Cpt Type,Service Item Id,Medicare Allowable
Lucentis Delive,Lucentis,LUCEN_DELV,0
Eylea Delivered,Eylea,EYLEA_DELV,0
Walk Out Not Se,Other,Walk Out,0
Medical Records,Other,Misc,0
Incomplete Exam,Other,No Charge,0
Duplicate Encou,Other,DUP,0
Avastin Deliver,Avastin,AVAST_DELV,0
IOL Master,Other,92136,31.93424346
Visual Field Ex,Other,92083-26,28.88
Scan Computeriz,Other,92133-TC,15.6
Visual Field Ex,Other,92083-TC,37.48
Scan Computeriz,OCT,92133,39.52316454
Ophth Serv: Med,Office Code,92014,132.5433868
DilatedRetinl E,Office Code,2022F,0
Postop F/u Visi,Post-op,99024,0
Destrct Retinop,Retinal Laser,67228,359.3854468
Ophth Serv: Med,Office Code,92004,155.6410306
Pachymetry Ocul,Other,76514,16.41761758
Ophth Serv: Med,Office Code,92012,90.52027421
Trabeculoplasty,SLT Laser,65855,258.1063321
NOC Avastin-Com,Avastin,J3490,0
Scan Computeriz,OCT,92134,43.08468128
Intravitreal In,Other,67028,107.2568482
Visual Field Ex,Visual Field,92083,37.80713992
Repr Ectropion;,Plastic Surgery,67917,654.829844
Offic/outpt E&m,Office Code,99214,116.0396707
Unbilled Encoun,Other,UnBLLD,0
Avastin Injecti,Avastin,J9035,0
Triamcinolone a,Other Injectables,J3300,0
Aflibercept Inj,Eylea,J0178,0
Offic/outpt E&m,Office Code,99213,76.01459538
Ophth Biomet A-,Other,76519,76.87210586
Inj Dexamethaso,Ozurdex,J7312,0
Avastin-Compoun,Avastin,J7999,0
Gonioscopy (sep,Other,92020,27.5843335
Extracapsular C,Cataract Surgery,66984,672.2090109
Aqueous Shunt-e,Glaucoma,66180,1244.38
Ciliary Body De,Glaucoma Laser,66710,429.91
Ocular reconst ,Non-Cataract Surgery,65781,1459.47
Epilation Cryo/,Other,67825,132.36
Repr Entropion;,Plastic Surgery,67924,501.19
Iridotomy/iride,Yag & PI Laser,66761,257.2643015
INSERT ANT DRAI,Other,66183,1125.58
Fistuliz Scler;,Glaucoma,66170,1190.778929
Exchg Io Lens,Non-Cataract Surgery,66986,955.6475416
Vitrectomy Mech,Retinal Surgery,67036,947.8500282
Inj Anes Agent;,Other,64400,88.40133775
Insertion Of Aq,Other,0449T,0
Vitrectomy Mech,Retinal Surgery,67040,1138.49275
Fistulizat Scle,Glaucoma,66172,1296.369716
Keratoplasty En,Non-Cataract Surgery,65756,1293.528987
Discission 2nd ,Yag & PI Laser,66821,337.6078488
Destrct Les Ret,Retinal Laser,67210,546.0588526
Ciliary Body De,Non-Cataract Surgery,66711,699.4142686
Insert Ant Segm,Other,0191T,0
Toric IOL Inser,Other,T-IOL,0
Eylea - Sample ,Eylea,EYLEA_SAMP,0
Dexamethasone (,Other Injectables,DEXAM_DELV,0
Lucentis - Samp,Lucentis,LUCEN_SAMP,0
Cataract Ext.  ,Cataract Surgery,66982,815.5318488
Rpr Complex Ret,Retinal Surgery,67113,1458.753902
Anes- Eye; Nos,Anesthesia,140,133.93
Anes- Eye; Vitr,Anesthesia,145,158.43
Anes- Eye; Lens,Anesthesia,142,106.17
Ophth Exten W/r,Ophthalmoscopy,92226,26.39094676
